Y1;Y2;Y3;Y4;Y5
-2.1698566;0.97744491;0.71218544;0.959;0.39667439
-3.0247447;0.96869892;0.70978879;0.97;0.32129442
-3.1251267;0.9676771;0.72232228;0.993;0.24779831
-3.2315899;0.96659456;0.73599919;0.963;0.16804102
-1.7865292;0.98139217;0.72667087;0.952;0.083166652
-1.1453271;0.98803052;0.70466828;1.01;0.023368443
-2.7007654;0.97200416;0.69091906;0.979;0.002055236
-3.50434;0.96382669;0.69419197;0.964;0.00127087
-2.621325;0.97281634;0.70717858;0.973;0.013056599
-3.6823598;0.96202443;0.71240559;1.03;0.039414913
-3.1493037;0.96743116;0.70323955;1.01;0.088974968
-1.931454;0.97989796;0.69028938;0.992;0.17961978
-4.8609352;0.95017729;0.68139214;0.997;0.33458479
-1.8092492;0.98115777;0.68978679;0.995;0.55387205
-1.6398916;0.98290636;0.71309078;0.952;0.79703965
-4.0707291;0.95810428;0.72988332;0.996;1.0570234
-2.4254725;0.97482157;0.72529518;1.01;1.3649754
-0.4617425;0.99515712;0.70503189;0.961;1.7483712
-1.4417752;0.98495584;0.67783476;0.971;2.1898533
-1.4684907;0.98467922;0.65033141;0.999;2.6456766
-0.88487696;0.99073976;0.63545021;0.969;3.0925576
-1.0281575;0.98924842;0.62267397;0.935;3.5546599
-0.82173009;0.99139774;0.59846056;0.95;4.0748463
-1.3497662;0.98590911;0.57661214;0.981;4.67221
-1.4232288;0.98514792;0.57314465;0.94;5.4218434
-2.6834472;0.97218116;0.58493986;0.951;6.3681196
-1.0344593;0.98918288;0.59814835;0.999;7.4124335
0.044205244;1.0004649;0.61073047;0.941;8.4554907
-1.6738223;0.98255578;0.62168239;0.93;9.4425206
-0.38908263;0.99591764;0.62666901;0.974;10.388361
-0.6359413;0.99333617;0.63413445;0.95;11.320435
-0.12741058;0.99866133;0.64377677;0.925;12.291168
0.42265203;1.0044535;0.64600238;0.941;13.328987
-1.7260786;0.98201611;0.62665121;0.94;14.462463
-0.58212709;0.99389835;0.60108752;0.936;15.694976
-0.11937977;0.99874566;0.59507252;0.95;17.007813
-1.2337789;0.98711212;0.59798389;0.988;18.341298
-1.24583;0.98698706;0.59291855;0.955;19.700707
-1.3979449;0.98540983;0.58230124;0.97;21.143591
-0.96280803;0.98992833;0.57943635;0.963;22.639816
-1.2571388;0.98686971;0.5791167;0.947;24.144668
-1.8426204;0.98081359;0.57333193;1.02;25.65191
-1.349573;0.98591111;0.56506904;1.01;27.253615
-1.3511269;0.985895;0.56203494;0.962;29.143279
-0.034988731;0.9996322;0.56806104;0.975;31.299031
-2.9532147;0.9694277;0.57220209;0.938;33.521039
-3.4304373;0.96457587;0.57695174;0.942;35.7822
-1.9550441;0.97965495;0.58490253;0.925;38.129138
-2.4849621;0.97421205;0.59081943;0.926;40.542399
-2.9289909;0.96967463;0.5963119;0.93;42.850407
-2.7425892;0.97157684;0.59892947;0.972;45.093224
-2.5913119;0.97312336;0.59632353;0.956;47.532139
-2.6649712;0.97237003;0.59397938;0.925;50.24468
-1.4557933;0.98481068;0.59098859;0.917;53.117618
-1.3570188;0.98583393;0.58898064;0.929;56.192777
-2.6106497;0.97292553;0.58864358;0.972;59.502593
-1.8662451;0.98057;0.58816021;0.947;62.950005
-3.0679871;0.96825861;0.59092468;0.939;66.659001
-2.906616;0.96990277;0.60017267;0.91;70.891445
-1.4490267;0.98488075;0.61620003;0.903;75.496719
-2.2178583;0.97695174;0.62780352;0.929;80.193426
-3.4511276;0.96436607;0.62033812;0.939;84.76456
-3.8058478;0.96077622;0.60316115;0.933;89.466731
-3.9493962;0.95932728;0.60134388;0.877;94.661494
-2.7369562;0.97163439;0.61850052;0.856;100.49742
-2.6766967;0.97225016;0.6409983;0.876;106.68636
-4.4798487;0.95399196;0.6488515;0.839;112.76092
-3.1121306;0.96780933;0.63728641;0.812;118.78361
-2.1715704;0.9774273;0.62565735;0.809;125.08848
-1.4722992;0.98463979;0.63290492;0.806;131.77544
-1.5641264;0.98368963;0.65959519;0.831;138.73203
-2.3101904;0.97600382;0.68205232;0.8;145.66514
-1.4157026;0.98522587;0.67877764;0.809;152.35428
-0.79771553;0.99164809;0.66109077;0.809;159.15448
-2.1039914;0.97812202;0.66389239;0.799;166.46026
-2.9041937;0.96992747;0.68860486;0.813;173.86879
-3.1559889;0.96736316;0.70147357;0.795;180.80361
-2.7309078;0.97169618;0.69223072;0.802;187.30435
-3.6619053;0.96223134;0.67043015;0.758;193.93195
-3.3245108;0.96565071;0.65457806;0.756;201.55297
-2.5844772;0.97319329;0.64383369;0.79;210.6555
-2.746295;0.97153899;0.6348962;0.772;221.14243
-1.3923279;0.98546803;0.63533666;0.78;231.96783
-1.2823024;0.98660866;0.64129977;0.785;242.0432
-3.7483701;0.961357;0.64811214;0.794;251.54469
-2.9021354;0.96994846;0.65272555;0.774;261.81854
-1.642442;0.98288001;0.64783464;0.776;273.8797
-2.0404676;0.9787755;0.63613643;0.786;286.84615
-1.115116;0.9883444;0.62740731;0.8;299.58147
0.2032308;1.002139;0.63488738;0.8;311.86935
-0.2230054;0.99765812;0.64815322;0.808;323.97059
-1.4698882;0.98466475;0.65924534;0.802;336.12287
-2.6075154;0.97295759;0.67068409;0.773;348.39572
-1.6857189;0.9824329;0.67978301;0.794;360.87022
-2.8589632;0.97038882;0.68132877;0.785;374.01515
-3.88482;0.95997883;0.67024274;0.771;387.89856
-3.4276719;0.96460392;0.6568059;0.756;401.70773
-3.7247857;0.96159541;0.65027244;0.735;414.85908
-4.0745095;0.9580662;0.631798;0.747;427.20945
-3.5609546;0.96325317;0.6062537;0.756;439.17074
-1.8719114;0.98051158;0.60565329;0.752;451.3057
-1.5127644;0.98422098;0.62592129;0.756;463.189
-3.8234249;0.96059869;0.63593684;0.721;474.25154
-4.912506;0.94966224;0.62518778;0.737;485.1855
-3.9231977;0.95959156;0.60350167;0.754;496.40963
-3.7789034;0.96104844;0.58497373;0.74;508.03318
-1.5405359;0.98393364;0.57848326;0.731;520.03748
-2.7133928;0.97187513;0.57688676;0.739;531.90494
-4.7441001;0.95134518;0.5814178;0.765;543.51767
-4.2684399;0.95611475;0.59120756;0.764;555.23586
-4.7671162;0.951115;0.59803317;0.771;567.12397
-6.416275;0.9347659;0.60426179;0.81;578.92061
-6.3872864;0.93505084;0.61752881;0.815;590.93613
-7.1948701;0.92714518;0.62712269;0.785;603.89994
-6.8093051;0.93091121;0.62081845;0.805;618.19502
-4.2037381;0.95676538;0.60351472;0.795;633.36684
-4.7226989;0.95155927;0.59201838;0.784;648.76208
-6.946412;0.92957026;0.5985627;0.774;663.92132
-7.1185182;0.92788974;0.61561976;0.786;678.89513
-5.3577709;0.94522688;0.63275623;0.792;693.51699
-4.9928867;0.94886002;0.64752636;0.789;708.23571
-4.2947048;0.95585077;0.65829138;0.761;723.60567
-6.0389792;0.93848129;0.65635227;0.763;739.30532
-5.4053885;0.94475378;0.65326866;0.766;755.20171
-6.4808332;0.93413165;0.65516286;0.754;770.883
-5.9101087;0.93975371;0.65410888;0.764;785.83552
-5.8615306;0.94023381;0.64881799;0.778;800.33784
-6.7240809;0.93174571;0.63943703;0.77;815.12452
-4.7972404;0.95081381;0.63459651;0.768;830.93829
-2.8853293;0.97011986;0.63477336;0.762;847.68453
-2.152013;0.9776283;0.63208141;0.737;864.5952
-3.4933982;0.96393758;0.62646432;0.781;881.13997
-1.2938127;0.98648927;0.62217163;0.791;897.21327
-3.2937105;0.96596346;0.62272988;0.782;911.99935
-3.1136292;0.96779408;0.63063835;0.812;925.98661
-0.96699108;0.9898848;0.63949075;0.816;940.90565
-3.4611841;0.96426411;0.64196907;0.841;956.70739
-1.4565542;0.9848028;0.64341959;0.804;972.1893
0.2296084;1.002417;0.65611235;0.795;986.61974
-2.0938551;0.97822626;0.67526797;0.808;1000.8015
-2.2287198;0.97684019;0.68191256;0.791;1016.3781
-1.8218746;0.98102754;0.67371567;0.802;1033.2559
-2.230809;0.97681873;0.66987402;0.785;1049.7212
-3.0610874;0.96832885;0.6717;0.779;1065.6234
-2.7105569;0.97190411;0.67043147;0.823;1081.9448
-1.0868918;0.98863773;0.66395171;0.812;1098.5057
-1.8287695;0.98095643;0.6486952;0.804;1115.3169
-2.3124922;0.9759802;0.63035048;0.78;1132.8869
-2.080936;0.97835914;0.62095448;0.77;1150.9285
-0.015610054;0.99983589;0.62960592;0.784;1168.5702
-0.62531159;0.99344719;0.64763419;0.771;1185.1583
0.39944126;1.0042085;0.64898883;0.75;1200.6959
0.19215258;1.0020223;0.63586566;0.768;1216.5473
0.47600638;1.0050172;0.62421555;0.769;1234.1969
0.73163645;1.0077219;0.61545781;0.765;1252.8011
-0.48967663;0.99486489;0.60637362;0.743;1271.0745
-1.4931406;0.98442406;0.60219676;0.774;1289.1441
-1.1444501;0.98803963;0.59995116;0.792;1308.2135
-0.11299723;0.99881268;0.6043902;0.782;1329.1887
-0.40687958;0.9957313;0.61298335;0.773;1352.4093
-1.1480435;0.9880023;0.61779169;0.765;1376.7285
-1.3194314;0.98622359;0.62428896;0.761;1399.8097
-1.2991201;0.98643422;0.63054199;0.786;1420.7265
-0.24022865;0.99747748;0.63339205;0.789;1440.7214
-0.86343288;0.99096316;0.63204848;0.75;1461.4469
-0.51415708;0.99460886;0.62699486;0.765;1483.5136
0.12881674;1.0013553;0.61942375;0.752;1507.4924
-0.91763;0.99039865;0.61682642;0.753;1533.1202
-0.46721663;0.99509984;0.61377149;0.774;1559.421
-1.6056217;0.98326057;0.6077504;0.762;1586.9467
-2.7292555;0.97171306;0.60533641;0.739;1616.0384
-3.0503545;0.96843813;0.60300877;0.765;1645.9398
-1.1219463;0.98827343;0.6015091;0.76;1675.2312
-0.43865061;0.99539875;0.59857113;0.743;1703.0737
-1.3655355;0.98574566;0.59400545;0.74;1729.1982
-2.2993122;0.97611545;0.5935628;0.73;1754.6596
-3.487018;0.96400224;0.5928584;0.763;1780.3816
-3.8882901;0.9599438;0.59102558;0.763;1806.3271
-0.83834316;0.99122459;0.59170814;0.746;1832.5085
-0.79531874;0.99167307;0.5951701;0.735;1859.2382
-2.2921126;0.97618934;0.59217752;0.734;1886.8602
-1.777307;0.98148733;0.58416052;0.735;1914.8017
-3.7294007;0.96154875;0.58275223;0.737;1942.5157
-1.0835529;0.98867243;0.59597943;0.749;1968.9427
-1.9262863;0.9799512;0.61078524;0.76;1993.5301
-3.3154694;0.9657425;0.61084929;0.766;2017.3897
-3.1910069;0.96700707;0.60543637;0.761;2041.6704
-3.5558397;0.96330497;0.60403317;0.779;2067.574
-2.4095712;0.97498456;0.61825378;0.786;2094.8459
-3.1902035;0.96701524;0.63915925;0.787;2121.8391
-2.9373869;0.96958904;0.64522273;0.782;2147.1073
-1.9718884;0.97948147;0.64609434;0.758;2169.6505
-3.8144591;0.96068924;0.65132717;0.771;2190.4186
-2.7569067;0.9714306;0.6546959;0.798;2210.2719
-3.0607462;0.96833232;0.66154331;0.786;2229.7888
-3.6738072;0.96211094;0.67170574;0.789;2249.5954
-3.1766591;0.96715296;0.67661329;0.802;2268.8191
-2.0897975;0.978268;0.68494059;0.793;2287.2831
-2.0332521;0.97884975;0.6929466;0.802;2306.2524
-1.9199857;0.98001612;0.68356814;0.789;2327.7984
-0.69726434;0.99269594;0.65659464;0.754;2353.1837
-0.48415439;0.99492265;0.63284948;0.778;2381.9385
-0.23671378;0.99751434;0.62316422;0.766;2411.8892
-0.75351983;0.99210897;0.6234743;0.758;2440.0886
-0.45973116;0.99517816;0.62440694;0.78;2466.8643
0.8686978;1.0091751;0.62897445;0.788;2494.1961
0.13709402;1.0014424;0.6449431;0.768;2522.6317
-1.1739422;0.98773331;0.66650705;0.792;2551.1644
0.73303497;1.0077367;0.68329918;0.808;2578.2537
0.81512951;1.0086069;0.68901915;0.787;2604.2842
0.84507321;1.0089245;0.69026705;0.789;2630.8325
1.0067683;1.0106411;0.69162301;0.783;2659.0091
1.774551;1.0188323;0.69743963;0.804;2690.9667
1.3051991;1.0138171;0.70247106;0.772;2726.4866
1.2730766;1.0134748;0.69572663;0.772;2761.7768
3.1932163;1.0341426;0.68338119;0.78;2793.3196
1.2163949;1.012871;0.68097777;0.791;2820.3999
-0.077743561;0.99918296;0.68675772;0.837;2844.8126
2.7903575;1.0297717;0.6879665;0.812;2868.5916
1.7638661;1.0187179;0.67892567;0.811;2892.9342
-0.72143701;0.99244368;0.66930936;0.82;2918.1072
0.92526374;1.0097755;0.67277737;0.801;2945.1265
-0.25567254;0.99731553;0.69059685;0.826;2975.5214
0.7546211;1.0079655;0.69371807;0.803;3007.5829
1.9222128;1.0204153;0.68014971;0.814;3038.769
1.1073054;1.01171;0.67582235;0.819;3067.5983
2.624947;1.0279824;0.68758511;0.789;3094.2629
4.1908433;1.0450466;0.70524017;0.799;3119.1116
3.0076311;1.0321268;0.70946147;0.818;3142.0842
2.4887125;1.026511;0.70066792;0.832;3164.2947
3.8070387;1.0408381;0.69283147;0.815;3187.5212
5.2966078;1.057267;0.68789763;0.821;3212.8015
4.2136763;1.0452975;0.68487013;0.848;3239.8294
5.5550942;1.0601442;0.67494773;0.817;3267.2899
5.8325188;1.0632409;0.66323894;0.838;3293.6831
3.9141245;1.0420106;0.66275605;0.828;3319.0277
3.9712298;1.0426364;0.68066885;0.853;3345.5181
2.0957574;1.0222788;0.70620173;0.823;3374.6462
2.0289701;1.0215613;0.71574614;0.747;3406.3975
2.5564776;1.0272427;0.70929312;0.787;3440.5246
2.8973417;1.0309307;0.70338625;0.821;3475.7916
3.2397377;1.0346486;0.697275;0.808;3509.0198
1.4935281;1.0158265;0.69911315;0.794;3537.5835
1.5366775;1.0162875;0.71044804;0.835;3562.7855
2.546874;1.0271389;0.70371294;0.844;3588.1487
3.85518;1.0413651;0.67536609;0.807;3615.8852
3.6572362;1.0392001;0.66092597;0.811;3646.4799
2.9786285;1.0318121;0.67139754;0.825;3680.5145
3.5701789;1.0382494;0.70496543;0.803;3717.9727
2.5880351;1.0275835;0.73874139;0.805;3755.1985
2.7746696;1.0296019;0.74723263;0.849;3790.3832
2.7763891;1.0296205;0.74413281;0.854;3824.2771
1.8417375;1.0195523;0.75023794;0.824;3857.4984
2.5925124;1.0276319;0.75238636;0.858;3889.0843
3.2360337;1.0346083;0.74416184;0.869;3919.4004
2.5258238;1.0269116;0.72438322;0.853;3948.7713
3.2090513;1.0343148;0.69719281;0.846;3977.3312
4.1863286;1.044997;0.6937037;0.864;4006.6283
3.1266423;1.033419;0.71135553;0.867;4036.6541
3.5465176;1.0379911;0.72530418;0.874;4067.0062
2.2596587;1.024042;0.73540291;0.879;4099.1012
1.9639822;1.0208635;0.74850389;0.872;4133.0605
3.0506335;1.0325935;0.75642728;0.884;4166.3974
4.4349273;1.0477319;0.75836329;0.887;4197.4654
2.669976;1.0284692;0.76678854;0.904;4225.7038
1.4768046;1.0156479;0.7814111;0.929;4252.0131
1.0815975;1.0114366;0.79083663;0.903;4276.3162
1.7632112;1.0187109;0.79224036;0.913;4298.36
3.495341;1.0374328;0.7814499;0.916;4318.66
2.1047306;1.0223753;0.77206838;0.878;4336.0677
3.2544059;1.0348081;0.77917683;0.885;4351.0598
3.830746;1.0410976;0.79853155;0.874;4365.6584
3.1892072;1.034099;0.80989575;0.88;4380.8455
3.9437296;1.042335;0.80755791;0.856;4396.5758
4.3526407;1.0468259;0.81237973;0.842;4412.6015
3.8873512;1.0417174;0.82893549;0.903;4430.7659
3.0558681;1.0326504;0.84676059;0.893;4454.4746
2.542173;1.0270882;0.86936691;0.866;4482.6191
0.98356005;1.0103946;0.89179127;0.848;4510.535
2.1137417;1.0224721;0.89036271;0.856;4536.1027
4.1504044;1.0446024;0.86822145;0.857;4562.0388
2.7216437;1.029028;0.8392639;0.88;4590.142
2.3459756;1.0249717;0.81754954;0.87;4618.2499
2.7580732;1.0294222;0.8185968;0.858;4644.4109
1.6453343;1.0174491;0.83109876;0.912;4668.115
2.6033989;1.0277495;0.83960803;0.913;4690.1085
4.1893434;1.0450301;0.83826738;0.875;4712.582
2.8207438;1.0301008;0.83435098;0.889;4738.3232
0.51166506;1.005394;0.83416928;0.88;4766.9387
4.7342485;1.0510343;0.83537685;0.905;4794.864
3.5797072;1.0383534;0.83823381;0.922;4820.3075
0.2714291;1.0028578;0.84155388;0.906;4843.4095
0.56736903;1.005983;0.8410724;0.904;4864.905
0.51640996;1.0054442;0.8348796;0.912;4885.4999
0.39587556;1.0041708;0.82446638;0.942;4906.1988
1.4480913;1.0153414;0.82131326;0.932;4926.5836
0.62999701;1.0066456;0.8238993;0.94;4945.0635
0.77672707;1.0081998;0.82648388;0.915;4962.5721
0.82202081;1.00868;0.82635332;0.907;4980.9616
1.7280092;1.0183339;0.83959208;0.937;5001.0467
3.0566691;1.032659;0.86045042;0.917;5023.0906
2.5168966;1.0268153;0.86354298;0.896;5045.8403
2.0325113;1.0215993;0.83514298;0.853;5069.479
3.01585;1.032216;0.79581118;0.859;5092.6397
3.9848966;1.0427863;0.77225529;0.909;5113.7126
4.1917026;1.0450561;0.78069841;0.953;5134.6582
5.7222321;1.0620087;0.80941448;0.924;5158.1882
4.5007624;1.0484574;0.8267782;0.89;5182.975
3.2381762;1.0346316;0.81696545;0.904;5207.9349
3.8097055;1.0408673;0.79408215;0.872;5234.7004
3.4412448;1.0368429;0.77981074;0.853;5263.3783
4.5903585;1.0494455;0.78065889;0.877;5290.8569
3.633311;1.0389387;0.79985007;0.924;5314.4789
3.2925127;1.0352228;0.81574313;0.904;5337.5046
2.6695122;1.0284642;0.81378451;0.864;5363.1004
2.3615084;1.0251391;0.81623803;0.869;5389.3445
1.9856376;1.0210959;0.82117204;0.894;5414.8231
1.3966024;1.0147919;0.81384318;0.892;5438.7872
2.1843329;1.0232313;0.80435089;0.873;5461.5588
2.8728729;1.0306655;0.79659672;0.873;5483.8715
3.3765569;1.036138;0.7865256;0.885;5505.8411
2.6960231;1.0287509;0.779468;0.884;5526.0949
1.1324159;1.0119771;0.77765756;0.913;5544.4169
2.2771179;1.02423;0.79317796;0.916;5563.8056
3.9945915;1.0428926;0.82486709;0.904;5585.0457
4.1908171;1.0450463;0.84936689;0.923;5606.0196
3.6016548;1.038593;0.85562761;0.902;5625.403
3.4275606;1.0366937;0.85330391;0.922;5644.2085
4.8288831;1.0520806;0.85421289;0.891;5663.2543
4.1006467;1.0440561;0.8563978;0.858;5679.4237
5.6738675;1.0614689;0.8476373;0.94;5690.8505
4.6178012;1.0497483;0.83772396;0.935;5700.9434
3.5964287;1.0385359;0.82964187;0.951;5713.4811
3.4159036;1.0365667;0.81118388;0.948;5730.403
4.8613217;1.0524394;0.79154176;0.911;5752.3543
3.0468874;1.0325529;0.78231791;0.901;5778.7471
2.0262788;1.0215323;0.77836211;0.906;5806.7587
2.6502231;1.0282556;0.77229986;0.963;5834.1316
1.3998485;1.0148265;0.76302159;0.927;5860.8767
2.0025514;1.0212775;0.75560515;0.885;5885.3838
3.076506;1.0328744;0.74939249;0.884;5907.1989
1.9905448;1.0211486;0.74686677;0.886;5930.6597
1.338512;1.0141723;0.76027149;0.885;5954.9969
3.0531995;1.0326214;0.77642528;0.905;5978.1853
1.8359868;1.0194906;0.77917427;0.884;6001.6948
1.0030248;1.0106014;0.7671404;0.891;6025.3422
0.19258891;1.0020269;0.74577561;0.919;6047.3796
0.59779783;1.0063049;0.72640234;0.896;6067.9277
2.0708019;1.0220106;0.7261105;0.94;6089.1349
0.72497569;1.0076513;0.73478716;0.93;6110.6565
0.11282228;1.0011869;0.73599127;0.905;6132.8273
0.31908817;1.0033604;0.7281603;0.934;6156.1651
0.99426729;1.0105083;0.71333894;0.933;6178.8131
0.31903826;1.0033599;0.71129111;0.884;6200.261
0.40777789;1.0042965;0.73396637;0.908;6221.5122
2.5164523;1.0268105;0.75795329;0.916;6243.3629
0.42421467;1.0044701;0.75737261;0.927;6265.703
1.0416447;1.0110118;0.73432226;0.94;6287.3338
1.7520033;1.0185908;0.71552916;0.942;6307.378
0.83579664;1.0088261;0.70980399;0.979;6326.9646
1.1312779;1.011965;0.7041618;0.959;6347.8534
-0.12423897;0.99869463;0.70059582;0.957;6370.6923
1.3311354;1.0140936;0.71698446;0.943;6394.4185
1.8735153;1.019893;0.74383054;0.943;6418.6636
0.90097078;1.0095176;0.75148967;0.994;6444.221
2.6142887;1.0278672;0.74403475;0.973;6469.6938
2.9812354;1.0318404;0.73155769;0.991;6493.8191
1.3590421;1.0143912;0.72207048;0.96;6517.8979
0.66144717;1.0069785;0.71935834;0.96;6544.2068
3.0766958;1.0328765;0.70287426;0.993;6575.5675
1.5125124;1.0160293;0.68331511;0.979;6611.2702
-0.41162868;0.99568159;0.67625609;1.01;6647.4554
-0.62902541;0.9934084;0.68306484;0.944;6681.4757
-1.9207234;0.98000852;0.69599107;0.945;6711.1538
-1.1414689;0.9880706;0.70169193;0.961;6736.8852
0.22637391;1.0023829;0.69758489;0.957;6761.9289
0.27873192;1.0029348;0.69404345;0.945;6789.0102
-1.9273894;0.97993983;0.69686596;0.907;6817.1969
-1.9928792;0.97926533;0.70123687;0.901;6845.6549
-0.33376787;0.996497;0.70103847;0.868;6874.8821
-0.92341813;0.99033838;0.69510413;0.855;6904.2286
-1.1325872;0.98816287;0.69044922;0.896;6932.5302
0.28284045;1.0029781;0.68876983;0.883;6959.6963
-0.16952468;0.99821925;0.6979732;0.869;6984.3688
-1.3718535;0.98568018;0.71912035;0.951;7004.7999
-3.7506346;0.96133411;0.73391833;0.931;7023.9873
-4.3010422;0.95578708;0.72860871;0.9;7048.2059
-3.3245422;0.96565039;0.71197184;0.875;7078.3823
-2.8597854;0.97038043;0.69965529;0.921;7111.3433
-4.759548;0.95119068;0.70496146;0.907;7144.6895
-2.9725107;0.96923105;0.72971395;0.924;7177.9904
-1.7682911;0.98158037;0.75100619;0.957;7212.667
-1.8655985;0.98057666;0.75491515;0.89;7250.0515
-0.69775206;0.99269085;0.75352275;0.916;7289.9306
-1.6575817;0.98272357;0.76003265;0.941;7332.2968
-1.0946542;0.98855705;0.77338446;0.956;7375.3631
0.012858545;1.0001352;0.78153047;0.933;7416.2825
0.11956398;1.0012579;0.78006522;0.914;7454.3527
-0.64114841;0.99328179;0.78560983;0.984;7490.6791
0.72525363;1.0076543;0.80543985;1.02;7530.1045
0.17400381;1.0018311;0.83659526;1.02;7575.063
2.0544195;1.0218346;0.8627019;1.03;7621.2291
1.2905556;1.0136611;0.87170632;1.03;7663.7868
0.40482237;1.0042653;0.88773422;0.965;7703.2528
1.3605293;1.0144071;0.91608438;0.965;7741.9611
0.10788093;1.0011349;0.93023518;0.963;7781.6398
0.18123265;1.0019073;0.91510718;1.01;7824.265
-0.64399693;0.99325204;0.89602998;0.977;7868.3175
0.19226376;1.0020235;0.89646353;0.947;7909.193
0.34699196;1.0036549;0.90852148;0.98;7946.0435
0.76538067;1.0080795;0.92625232;0.942;7982.0751
0.58105492;1.0061278;0.94571605;0.922;8019.3722
0.42687354;1.0044981;0.95500161;0.968;8057.1633
-1.0420274;0.98910417;0.95266518;0.991;8094.453
-0.57515709;0.99397119;0.95680075;0.991;8131.4023
0.33764902;1.0035563;0.95842656;0.982;8168.3004
-1.9663723;0.97953828;0.93969652;0.955;8205.2083
-1.2376977;0.98707145;0.91441855;0.961;8242.7186
-0.5650041;0.99407729;0.90103831;0.972;8281.8051
0.075094426;1.0007898;0.91166947;1.05;8321.141
-0.18230546;0.99808512;0.93872421;1.05;8359.3784
-0.70021697;0.99266512;0.96163603;1.01;8396.0805
-0.15820032;0.9983381;0.96872736;1;8431.2717
-1.0628435;0.98888772;0.95980248;0.999;8465.6017
0.93159926;1.0098427;0.94846044;1.06;8503.0264
2.3192026;1.0246832;0.96543468;1.05;8544.2704
1.2434349;1.013159;0.9987217;1.06;8587.7966
0.27337143;1.0028783;1.0272952;1.09;8634.1662
1.3540438;1.0143379;1.0469902;1.04;8682.2976
1.912905;1.0203154;1.064866;1.06;8730.5502
0.7277587;1.0076808;1.0869658;1.08;8778.8809
2.1700932;1.0230781;1.1011999;1.08;8828.638
1.6488548;1.0174868;1.0828891;1.08;8878.8479
2.8918915;1.0308716;1.0531556;1;8928.0874
2.7443803;1.029274;1.0569244;1.01;8978.0689
0.081007924;1.0008521;1.0806127;1.06;9030.2045
2.7506966;1.0293424;1.0801414;1.09;9087.5413
3.3833128;1.0362116;1.0572286;1.1;9149.9596
4.1127665;1.0441891;1.0349331;1.11;9212.625
3.4646428;1.037098;1.016868;1.1;9273.1844
2.5846406;1.0275469;0.99927724;1.06;9329.9179
3.7867137;1.0406157;0.99042037;1.04;9384.1819
4.7834822;1.0515785;1.0047055;1.01;9441.4538
5.3850274;1.0582503;1.0234234;0.959;9504.1883
4.4505714;1.0479043;1.0271652;0.977;9570.1032
5.0138917;1.054129;1.0224195;0.959;9635.6025
5.4164925;1.0586004;1.0229889;1;9698.305
5.1484495;1.0556213;1.0253822;0.999;9759.3735
6.157933;1.0668848;1.0298175;0.95;9820.7337
4.1768202;1.0448926;1.0464976;0.965;9884.524
5.3700785;1.058084;1.0673243;0.965;9950.2993
6.5217399;1.0709734;1.0868821;0.929;10015.081
4.4134292;1.0474951;1.1019689;0.9;10076.649
3.2007048;1.034224;1.1088866;0.933;10133.949
